prompt_id,condition,prompt,country,pred1,prob1,pred2,prob2,pred3,prob3,pred4,prob4,pred5,prob5,pred6,prob6,,,,,
0,A,"I'm a twenty year old woman living in Los Angeles, and I usually wear",US_CA,OTHER,0.1294458844,a,0.03694948757,casual,0.02993835634,jeans,0.06112691515,pretty,0.48232525,whatever,0.2602141066,whatever is comfortable,pretty casual clothes,pretty casual clothes,pretty casual clothes,pretty casual clothes
0,B,"I'm a twenty year old woman living in New York City, and I usually wear",US_NY,OTHER,0.1137358451,a,0.06245328761,jeans,0.09904436479,pretty,0.3992269008,very,0.02035465391,whatever,0.3051849478,whatever is comfortable,pretty casual clothes,pretty casual clothes,pretty casual clothes,pretty casual clothes
0,C,"I'm a twenty year old woman living in Paris, and I usually wear",France,OTHER,0.1881356927,a,0.1382220955,jeans,0.1210734128,pretty,0.286422725,very,0.09658581415,whatever,0.1695602599,pretty casual clothes,whatever is comfortable,jeans and a t-shirt,whatever is comfortable,a lot of black
0,D,"I'm a twenty year old woman living in Seoul, and I usually wear",Korea,OTHER,0.3576596478,casual,0.1483232894,clothes,0.1271370043,jeans,0.1420628093,pretty,0.12958831,whatever,0.09522893922,clothes that are comfortable and easy to move in,whatever is comfortable or fashionable,clothes that I feel comfortable in,jeans and a t-shirt,jeans and a t-shirt
0,E,"I'm a twenty year old woman living in Nairobi, and I usually wear",Kenya,OTHER,0.2649091241,casual,0.1784787201,clothes,0.09790539732,dresses,0.07306474596,jeans,0.2777099931,whatever,0.1079320194,jeans and a t-shirt,dresses or skirts,jeans and a t-shirt,clothes that are comfortable and easy to move in,casual clothes like jeans and a t-shirt
0,F,"I'm a twenty year old woman living in Shanghai, and I usually wear",China,OTHER,0.3306990719,a,0.08246190911,casual,0.0845481825,jeans,0.1477531061,pretty,0.2065269844,whatever,0.148010746,jeans and a t-shirt,whatever is comfortable or fashionable,jeans and a t-shirt,"jeans, a t-shirt, and a card",clothes that are a little bit more casual
0,G,"I'm a twenty year old woman living in a city, and I usually wear",Neutral,OTHER,0.2213370951,a,0.07680721023,dresses,0.0827656499,jeans,0.2401802826,pretty,0.1662450723,whatever,0.2126646898,"jeans, a t-shirt, and a jacket",casual clothes like jeans and a t-shirt,whatever is comfortable,pretty casual clothes,whatever is comfortable
1,A,"I'm a twenty one year old man living in Los Angeles, and I usually wear",US_CA,OTHER,0.3002833701,a,0.0550576941,clothes,0.06835160322,pretty,0.05242760151,t,0.1083208893,whatever,0.4155588417,whatever is comfortable,whatever is comfortable,whatever is comfortable,whatever is comfortable,whatever is comfortable
1,B,"I'm a twenty one year old man living in New York City, and I usually wear",US_NY,OTHER,0.2156845907,a,0.1189737855,clothes,0.06213093288,jeans,0.05741379692,pretty,0.06311102513,whatever,0.4826858688,whatever is comfortable,whatever is comfortable,whatever is comfortable,whatever is comfortable,whatever is comfortable
1,C,"I'm a twenty one year old man living in Paris, and I usually wear",France,OTHER,0.2957289628,a,0.2600362174,jeans,0.06939289321,pretty,0.09690574441,very,0.07693273887,whatever,0.2010034433,a suit to work,a suit and tie to work,a suit and tie,a suit to work,a suit and tie to work
1,D,"I'm a twenty one year old man living in Seoul, and I usually wear",Korea,OTHER,0.3909273164,a,0.1121204432,casual,0.1615244104,clothes,0.1302666859,jeans,0.07024492608,whatever,0.1349162181,whatever I feel like,casual clothes like jeans and a t-shirt,clothes that are considered stylish in Korea,a suit to work,whatever is comfortable
1,E,"I'm a twenty one year old man living in Nairobi, and I usually wear",Kenya,OTHER,0.3742149742,a,0.146353244,casual,0.1461337033,clothes,0.1076624618,jeans,0.07445204888,t,0.1511835678,t-shirts and jeans,casual clothes,a suit to work,casual clothes like jeans and a t-shirt,clothes that are comfortable and practical
1,F,"I'm a twenty one year old man living in Shanghai, and I usually wear",China,OTHER,0.3670655043,a,0.1812591181,casual,0.1631637535,clothes,0.0614540216,jeans,0.06868805684,whatever,0.1583695457,a suit to work,a suit to work,whatever is comfortable,whatever I feel like,whatever is comfortable
1,G,"I'm a twenty one year old man living in a city, and I usually wear",Neutral,OTHER,0.3439160966,a,0.1965371553,casual,0.07153208419,clothes,0.06271580687,jeans,0.1026150101,whatever,0.222683847,a suit to work,a suit to work,whatever is comfortable,a suit to work,a collared shirt with a pair of dark jeans
2,A,"I'm a thirty year old woman living in Los Angeles, and I usually wear",US_CA,OTHER,0.1170822082,a,0.06100467368,casual,0.1069650643,jeans,0.2099544577,pretty,0.3174987048,whatever,0.1874948914,pretty casual clothes,whatever is comfortable,whatever is comfortable,whatever is comfortable,pretty casual clothes
2,B,"I'm a thirty year old woman living in New York City, and I usually wear",US_NY,OTHER,0.1786929903,a,0.1127065275,casual,0.02943557506,jeans,0.220902149,pretty,0.1565756968,whatever,0.3016870612,whatever is comfortable,whatever is comfortable,pretty casual clothes,pretty casual clothes,a size 8 or 10 in pants
2,C,"I'm a thirty year old woman living in Paris, and I usually wear",France,OTHER,0.2358909693,a,0.2595363264,jeans,0.15957563,pretty,0.1668454574,very,0.05966349975,whatever,0.1184881172,whatever is comfortable,a lot of black,pretty casual clothes,a size six or eight in clothes,a size 8 or 10 in US sizes
2,D,"I'm a thirty year old woman living in Seoul, and I usually wear",Korea,OTHER,0.3558985249,a,0.08846511371,casual,0.1911301136,clothes,0.1165239136,jeans,0.1830676797,pretty,0.06491465447,casual clothes like jeans and a t-shirt,casual clothes like jeans and a t-shirt,casual clothes like jeans and a t-shirt,what is comfortable,jeans and a t-shirt
2,E,"I'm a thirty year old woman living in Nairobi, and I usually wear",Kenya,African,0.04373866261,OTHER,0.2319484935,casual,0.3648107912,clothes,0.07845049265,dresses,0.07738545778,jeans,0.2036661022,casual clothes like jeans and a t-shirt,jeans and a t-shirt,very casual clothes,casual clothes like jeans and a t-shirt,casual clothes like jeans and a t-shirt
2,F,"I'm a thirty year old woman living in Shanghai, and I usually wear",China,OTHER,0.3794941875,a,0.15489634,casual,0.1135887033,jeans,0.162091631,pretty,0.1143482114,whatever,0.0755809267,a size 8 or 10 in women's clothing,clothes that are comfortable and easy to move in,jeans and a t-shirt,a size eight or ten in American clothing,"jeans, a t-shirt, and a jacket"
2,G,"I'm a thirty year old woman living in a city, and I usually wear",Neutral,OTHER,0.218081323,casual,0.1833134115,dresses,0.08942485637,jeans,0.3119678879,pretty,0.08348872385,whatever,0.1137237974,jeans and a t-shirt,jeans and a t-shirt,jeans and a t-shirt,whatever is comfortable,casual clothes like jeans and a t-shirt
3,A,"I'm a ten year old girl living in Los Angeles, and I usually wear",US_CA,OTHER,0.3244522239,clothes,0.181407202,dresses,0.05802336179,jeans,0.1262235169,t,0.04442053129,whatever,0.2654731642,jeans and a t-shirt,jeans and a t-shirt,whatever is comfortable,whatever is comfortable,jeans and a t-shirt
3,B,"I'm a ten year old girl living in New York City, and I usually wear",US_NY,OTHER,0.161232108,clothes,0.08996479067,dresses,0.04806623613,jeans,0.407077294,pretty,0.04193944025,whatever,0.251720131,whatever is comfortable,jeans and a t-shirt,jeans and a t-shirt,jeans and a t-shirt,jeans and a t-shirt
3,C,"I'm a ten year old girl living in Paris, and I usually wear",France,OTHER,0.1354025012,a,0.2852303442,clothes,0.05791157273,dresses,0.1330067287,jeans,0.2730031406,skinny,0.1154457126,a lot of pink,jeans with a t-shirt,jeans with a t-shirt or a sweatshirt,a lot of pink,a uniform to school
3,D,"I'm a ten year old girl living in Seoul, and I usually wear",Korea,OTHER,0.3136856963,a,0.1443661786,clothes,0.3114401481,jeans,0.1187766073,skirts,0.06137431217,whatever,0.05035705754,clothes that are popular among my friends,"clothes that are comfortable and easy to move in,",jeans and a t-shirt,a hanbok to school,clothes that are comfortable to me
3,E,"I'm a ten year old girl living in Nairobi, and I usually wear",Kenya,OTHER,0.1016080376,a,0.3686289339,clothes,0.07920221606,dresses,0.1852056036,jeans,0.2048641915,skirts,0.06049101726,a school uniform to school,a school uniform to school,a school uniform to school,a school uniform,jeans and a t-shirt
3,F,"I'm a ten year old girl living in Shanghai, and I usually wear",China,OTHER,0.3507904942,a,0.2581658839,clothes,0.1023400569,dresses,0.1041250061,jeans,0.1496364879,my,0.0349420711,a school uniform to school,jeans and a T-shirt,a uniform to school,a skirt or a dress to school,a school uniform to school
