,country,pred1,pred2,pred3,pred4,pred5,pred6
138,China,,a,business,casual,formal,suits
40,China,,a,casual,clothes,my,women
82,China,,a,clothes,international,jeans,normal
173,China,,a,another,myself,some,something
26,China,,a,clothes,dresses,jeans,my
54,China,,a,casual,clothes,jeans,whatever
89,China,""")",,,\n,light,short
33,China,,Western,a,casual,clothes,traditional
208,China,,a,jeans,ripped,skinny,something
131,China,,a,casual,modern,suits,uniforms
166,China,,a,dresses,jeans,t,tops
19,China,,a,casual,jeans,pretty,whatever
180,China,,a,my,that,the,what
96,China,,\n,a,clothes,dark,swe
61,China,,a,casual,jeans,pretty,whatever
68,China,,a,business,casual,jeans,very
103,China,,\n,a,casual,clothes,rain
215,China,,,a,my,something,this
12,China,,a,casual,clothes,jeans,whatever
159,China,,and,clothes,designer,dresses,shoes
187,China,,a,an,definitely,my,the
110,China,,a,business,casual,formal,suits
222,China,,,a,an,something,this
201,China,,all,clothes,designer,the,trendy
47,China,,a,clothes,jeans,pretty,whatever
5,China,,a,casual,jeans,pretty,whatever
117,China,,a,business,casual,formal,suits
152,China,,a,clothes,jeans,shirts,t
194,China,,a,heels,jeans,my,the
124,China,,a,business,casual,formal,suits
145,China,,a,an,her,something,the
75,China,,a,definitely,jeans,skinny,to
142,France,,a,an,her,something,the
184,France,,a,an,definitely,my,the
58,France,,a,jeans,my,pretty,whatever
191,France,,a,anything,heels,jeans,my
65,France,,a,business,casual,jeans,suits
149,France,,\n,a,clothing,jeans,the
86,France,,\n,casual,clothes,jeans,light
177,France,,a,my,that,the,what
79,France,,a,clothes,jeans,skinny,something
170,France,,a,myself,some,something,that
93,France,,a,clothes,dark,jeans,light
163,France,,a,definitely,denim,jeans,the
100,France,,a,clothes,rain,regular,their
107,France,,a,business,formal,smart,suits
156,France,,clothes,designer,dresses,expensive,shoes
114,France,,a,business,casual,formal,suits
121,France,,a,business,casual,formal,suits
72,France,,a,black,definitely,jeans,skinny
51,France,,a,clothes,jeans,pretty,whatever
128,France,,a,casual,jeans,modern,suits
30,France,,a,casual,clothes,jeans,very
135,France,,a,casual,formal,jeans,suits
219,France,,,\n,a,an,skinny
37,France,,a,jeans,my,the,women
23,France,,a,clothes,dresses,jeans,skinny
2,France,,a,jeans,pretty,very,whatever
198,France,,a,chic,designer,stylish,the
9,France,,a,jeans,pretty,very,whatever
212,France,,,a,my,something,this
205,France,,a,jeans,ripped,skinny,something
44,France,,a,black,jeans,pretty,whatever
16,France,,a,jeans,pretty,very,whatever
81,Kenya,,Western,casual,clothes,jeans,something
207,Kenya,,a,jeans,ripped,skinny,something
172,Kenya,,a,myself,some,something,that
214,Kenya,,,a,my,something,the
25,Kenya,,a,clothes,dresses,jeans,skirts
102,Kenya,,a,brightly,jeans,light,rain
109,Kenya,,a,casual,corporate,formal,suits
88,Kenya,,brightly,casual,clothes,light,shorts
165,Kenya,,a,dresses,jeans,t,tops
137,Kenya,,a,casual,formal,jeans,suits
116,Kenya,,a,casual,corporate,formal,suits
18,Kenya,African,,casual,clothes,dresses,jeans
95,Kenya,,\n,a,jeans,light,swe
158,Kenya,.,,and,clothes,dresses,shoes
11,Kenya,,a,casual,clothes,jeans,t
4,Kenya,,casual,clothes,dresses,jeans,whatever
60,Kenya,,a,casual,jeans,pretty,whatever
123,Kenya,,a,casual,formal,smart,suits
186,Kenya,,a,an,definitely,my,the
130,Kenya,,a,casual,many,my,suits
39,Kenya,,a,casual,clothes,jeans,whatever
67,Kenya,,a,business,casual,jeans,suits
144,Kenya,,a,an,her,something,the
221,Kenya,,,a,an,denim,something
151,Kenya,,a,jeans,shoes,t,the
179,Kenya,,a,my,that,the,what
46,Kenya,,a,casual,clothes,jeans,whatever
74,Kenya,,a,definitely,jeans,probably,skinny
193,Kenya,,a,anything,heels,my,the
32,Kenya,,a,casual,clothes,dresses,jeans
53,Kenya,,a,casual,clothes,dresses,jeans
200,Kenya,,all,beautiful,everything,such,the
10,Korea,,a,casual,clothes,jeans,whatever
108,Korea,,a,business,casual,formal,suits
122,Korea,,a,business,casual,formal,suits
157,Korea,,and,clothes,dresses,expensive,shoes
